Bench,MODE,Size,iters,launch_us/iter_mean,launch_us/iter_std,launch_us/iter_count,cpu_idle_us/iter_mean,cpu_idle_us/iter_std,cpu_idle_us/iter_count,total_us/iter_mean,total_us/iter_std,total_us/iter_count,graph_create_ms_mean,graph_create_ms_std,graph_create_ms_count
cub,Graph,Big,100,2.4754400000000003,0.0,1,141.87828000000002,0.0,1,144.35371999999998,0.0,1,0.021711,0.0,1
cub,Graph,Big,1000,2.5480400000000003,0.0,1,141.734697,0.0,1,144.282737,0.0,1,0.021711,0.0,1
cub,Graph,Big,10000,129.500422,0.0,1,14.741921,0.0,1,144.242343,0.0,1,0.021711,0.0,1
cub,Graph,Medium,100,2.5099099999999996,0.0,1,8.78689,0.0,1,11.2968,0.0,1,0.020378,0.0,1
cub,Graph,Medium,1000,2.5347049999999998,0.0,1,8.717294,0.0,1,11.251999,0.0,1,0.020378,0.0,1
cub,Graph,Medium,10000,10.094263,0.0,1,1.149464,0.0,1,11.243725999999999,0.0,1,0.020378,0.0,1
cub,Graph,Small,100,2.6560799999999998,0.0,1,1.82923,0.0,1,4.48531,0.0,1,0.204664,0.0,1
cub,Graph,Small,1000,2.612001,0.0,1,1.816327,0.0,1,4.428328,0.0,1,0.204664,0.0,1
cub,Graph,Small,10000,3.9705800000000004,0.0,1,0.451694,0.0,1,4.422275,0.0,1,0.204664,0.0,1
cub,NoGraph,Big,100,6.87259,0.0,1,138.89207,0.0,1,145.76466000000002,0.0,1,0.0,0.0,1
cub,NoGraph,Big,1000,71.231707,0.0,1,74.429106,0.0,1,145.660813,0.0,1,0.0,0.0,1
cub,NoGraph,Big,10000,138.212724,0.0,1,7.442691,0.0,1,145.65541499999998,0.0,1,0.0,0.0,1
cub,NoGraph,Medium,100,6.89915,0.0,1,5.67053,0.0,1,12.56968,0.0,1,0.0,0.0,1
cub,NoGraph,Medium,1000,6.8397619999999995,0.0,1,5.619452,0.0,1,12.459214,0.0,1,0.0,0.0,1
cub,NoGraph,Medium,10000,11.810039999999999,0.0,1,0.6360319999999999,0.0,1,12.446072000000001,0.0,1,0.0,0.0,1
cub,NoGraph,Small,100,6.964169999999999,0.0,1,0.060610000000000004,0.0,1,7.024780000000001,0.0,1,0.0,0.0,1
cub,NoGraph,Small,1000,6.972180000000001,0.0,1,0.006372,0.0,1,6.9785520000000005,0.0,1,0.0,0.0,1
cub,NoGraph,Small,10000,6.905644000000001,0.0,1,0.000634,0.0,1,6.9062779999999995,0.0,1,0.0,0.0,1
cublas,Graph,Big,100,2.49478,0.0,1,451.70264000000003,0.0,1,454.19742,0.0,1,0.014216,0.0,1
cublas,Graph,Big,1000,2.501894,0.0,1,451.579643,0.0,1,454.081537,0.0,1,0.014216,0.0,1
cublas,Graph,Big,10000,407.647437,0.0,1,46.40208,0.0,1,454.049518,0.0,1,0.014216,0.0,1
cublas,Graph,Medium,100,2.50791,0.0,1,58.040490000000005,0.0,1,60.5484,0.0,1,0.017533,0.0,1
cublas,Graph,Medium,1000,2.527461,0.0,1,57.953136,0.0,1,60.480596999999996,0.0,1,0.017533,0.0,1
